Country,Total GHG Emissions,Total CO2 ,Total CH4 (MtCO2e),Total N2O (MtCO2e),Total F-Gas (MtCO2e),GDP Per Capita,Population
Saudi Arabia,370.0850906,329.8377,31.9858,5.4349,2.8267,14826.9167,25419994
Senegal,21.52981661,5.8863,7.9689,7.628,0.0467,808.2884239,11578430
Serbia,65.91326667,53.0922,8.3301,4.1766,0.3144,4129.758741,7411569
Seychelles,0.796681863,0.7328,0.0576,0.0057,0.0006,12014.39987,84600
Sierra Leone,5.223825211,0.7328,3.728,0.7233,0.0397,359.5337138,5243214
Singapore,48.17595012,43.23,1.9609,1.1412,1.8439,33579.59245,4401400
Slovakia,46.99503757,39.2615,4.7406,2.6836,0.3093,#N/A,#N/A
Slovenia,19.64033338,16.5339,1.8778,0.8168,0.4119,19726.12575,2006868
Solomon Islands,0.487565152,0.1795,0.2871,0.0199,0.001,950.0576951,480716
South Africa,409.1269156,337.0457,44.2513,20.7454,7.0844,5660.116974,47991699
Spain,424.5577124,358.8031,38.3382,22.91,4.5065,#N/A,#N/A
Sri Lanka,33.65078561,12.4588,17.7519,3.2554,0.1847,#N/A,#N/A
Sudan,137.8215635,12.8089,77.4015,47.3322,0.279,868.322775,32809056
Suriname,3.621769598,2.4476,0.79,0.3604,0.0237,5295.623648,495953
Swaziland,2.578443212,1.0149,1.1459,0.4116,0.006,2636.320016,1118204
Sweden,62.0163539,49.4893,5.8359,5.364,1.3272,46256.4716,9080505
Switzerland,53.7825684,46.2715,4.2826,2.3905,0.8379,#N/A,#N/A
Syria,94.24797668,60.8025,27.3203,5.391,0.7342,#N/A,#N/A
Tajikistan,7.634627986,2.6792,2.9876,1.5496,0.4182,407.2526117,6949566
Tanzania,58.85780759,6.1715,30.047,22.5825,0.0567,475.9087651,40260847
Thailand,319.6563223,232.5454,66.1416,18.2961,2.6733,3351.117633,66174486
Togo,4.928388858,1.2994,2.2221,1.3847,0.0222,384.2885556,5732175
Tonga,0.303286476,0.1282,0.1153,0.0586,0.0012,2837.075472,101507
Trinidad & Tobago,38.26800753,37.1927,0.6336,0.2847,0.157,#N/A,#N/A
Tunisia,32.16349101,24.8317,4.3805,2.7263,0.2249,3394.42898,10127900
Turkey,346.1561562,263.3448,55.4889,25.3473,1.9752,7727.272405,68704721
Turkmenistan,88.26444973,49.554,35.0418,3.6299,0.0388,2140.455472,4801594
Uganda,20.70573629,2.6527,8.7729,9.2722,0.0078,342.837264,29000925
Ukraine,418.8137526,317.1244,80.2828,20.2404,1.1662,2303.018831,46787750
United Arab Emirates,154.0855583,123.5274,23.3656,5.9828,1.2097,#N/A,#N/A
United Kingdom,637.4234283,543.2663,54.512,30.3878,9.2574,#N/A,#N/A
United States,6770.279909,5741.3823,612.4353,266.9092,149.5532,46437.06712,298379912
Uruguay,34.10753838,6.5178,19.0576,8.2299,0.3023,5877.879608,3331041
Uzbekistan,217.9012728,113.3396,93.2534,10.945,0.3632,642.9604146,26488250
Vanuatu,0.521014108,0.0476,0.3362,0.1339,0.0033,2047.088285,214635
Venezuela,237.7132328,156.3481,64.633,12.8346,3.8975,#N/A,#N/A
Vietnam,188.0226989,99.8712,66.9325,20.8277,0.3913,796.6715738,83311200
World,39889.96925,29848.5048,6670.2706,2758.1806,613.0132,7737.84362,6595442749
Yemen,27.43161214,19.4328,4.5009,3.3526,0.1453,#N/A,#N/A
Zambia,41.28284048,2.2648,11.1563,27.8188,0.0429,1030.31536,12381509
Zimbabwe,24.45694681,9.7981,8.7299,5.6051,0.3239,414.6801151,13127942
